284.528, 132.279, 7.939,  8.339 False
284.265, 132.317, 7.968,  8.372 False
284.002, 132.355, 7.999,  8.405 False
283.737, 132.390, 8.028,  8.438 False
283.470, 132.425, 8.057,  8.471 False
283.203, 132.457, 8.087,  8.504 False
282.935, 132.487, 8.114,  8.537 False
282.665, 132.516, 8.145,  8.570 False
282.394, 132.543, 8.174,  8.603 False
282.122, 132.569, 8.204,  8.636 False
281.849, 132.592, 8.230,  8.669 False
281.575, 132.615, 8.252,  8.702 False
281.301, 132.637, 8.270,  8.735 False
281.025, 132.657, 8.283,  8.768 False
280.750, 132.677, 8.294,  8.801 False
280.474, 132.694, 8.302,  8.834 False
280.198, 132.710, 8.309,  8.867 False
279.921, 132.725, 8.315,  8.900 False
279.645, 132.737, 8.319,  8.933 False
279.368, 132.748, 8.324,  8.966 False
279.090, 132.758, 8.327,  8.999 False
278.813, 132.765, 8.331,  9.032 False
278.535, 132.771, 8.333,  9.065 False
278.258, 132.776, 8.337,  9.098 False
277.980, 132.781, 8.341,  9.131 False
277.702, 132.784, 8.342,  9.164 False
277.424, 132.787, 8.344,  9.197 False
277.146, 132.787, 8.344,  9.230 False
276.868, 132.786, 8.345,  9.263 False
276.590, 132.784, 8.346,  9.296 False
276.312, 132.780, 8.347,  9.329 False
276.034, 132.775, 8.348,  9.362 False
275.756, 132.769, 8.348,  9.395 False
275.478, 132.762, 8.350,  9.428 False
275.199, 132.754, 8.351,  9.461 False
274.921, 132.746, 8.351,  9.494 False
274.643, 132.736, 8.351,  9.527 False
274.365, 132.726, 8.351,  9.560 False
274.087, 132.714, 8.352,  9.593 False
273.809, 132.702, 8.351,  9.626 False
273.531, 132.688, 8.351,  9.659 False
273.253, 132.673, 8.351,  9.692 False
272.975, 132.657, 8.351,  9.725 False
272.697, 132.640, 8.351,  9.758 False
272.420, 132.622, 8.351,  9.791 False
272.142, 132.603, 8.352,  9.824 False
271.864, 132.585, 8.352,  9.857 False
271.586, 132.566, 8.352,  9.890 False
271.309, 132.546, 8.351,  9.923 False
271.031, 132.525, 8.351,  9.956 False
270.754, 132.503, 8.351,  9.989 False
270.476, 132.481, 8.350, 10.022 False
270.199, 132.457, 8.350, 10.055 False
269.922, 132.433, 8.350, 10.088 False
269.645, 132.408, 8.350, 10.121 False
269.368, 132.382, 8.350, 10.154 False
269.091, 132.356, 8.349, 10.187 False
268.814, 132.330, 8.349, 10.220 False
268.536, 132.303, 8.349, 10.253 False
268.259, 132.276, 8.349, 10.286 False
267.983, 132.249, 8.349, 10.319 False
267.706, 132.221, 8.348, 10.352 False
267.429, 132.192, 8.347, 10.385 False
267.152, 132.163, 8.347, 10.418 False
266.876, 132.134, 8.347, 10.451 False
266.599, 132.104, 8.347, 10.484 False
